,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
78,77,Australia,South Australia,South Australia,Yalumba,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,18.0,86,Joe Czerwinski,"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Made With Organic Grapes,@JoeCz
84,83,Australia,South Australia,McLaren Vale,Mitolo,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,20.0,86,Joe Czerwinski,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Jester Sangiovese,@JoeCz
125,123,Australia,South Australia,Padthaway,Henry's Drive Vignerons,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,40.0,92,Joe Czerwinski,"The blend is roughly two-thirds Shiraz and one-third Cabernet, and the result combines berries with cassis and generosity with structure, all framed by toasty oak. Savory in character, long and dusty on the finish. Drink now-2018.",Parson's Flat,@JoeCz
197,191,Australia,South Australia,Padthaway,Henry's Drive Vignerons,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,30.0,87,Joe Czerwinski,"From the little-known region of Padthaway, this Cabernet starts off with some very promising, perfumed aromas of mint and cassis, but then shows touches of chocolate and raisined fruit on the palate. It's soft and mouthfilling—an easy-drinking Cab to consume on the young side.",The Trial of John Montford,@JoeCz
244,238,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,29.0,85,Joe Czerwinski,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",The Derelict Vineyard,@JoeCz
299,293,Australia,South Australia,Barossa Valley,Kilikanoon,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,70.0,92,Joe Czerwinski,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Green's Vineyard,@JoeCz
349,345,Australia,Victoria,Rutherglen,Chambers Rosewood Vineyards,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,350.0,100,Joe Czerwinski,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,@JoeCz
350,346,Australia,Victoria,Rutherglen,Chambers Rosewood Vineyards,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,350.0,98,Joe Czerwinski,"This deep brown wine smells like a damp, mossy cave. Then add complex rancio notes, plus maple syrup and molasses. It's full, round and harmonious, wonderfully rich yet without any sense of heaviness and long and bright on the finish.",Rare,@JoeCz
352,348,Australia,Victoria,Rutherglen,Chambers Rosewood Vineyards,Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Muscat,100.0,97,Joe Czerwinski,"Deep mahogany. Dried fig and black tea on the nose, then concentrated mocha and molasses flavors, enlivened by candied orange zest. Full, rich and sweet, but surprisingly drinkable, with terrific intensity and length.",Grand,@JoeCz
353,349,Australia,South Australia,Barossa,Torbreck,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Shiraz-Viognier,225.0,97,Joe Czerwinski,"RunRig is always complex, and the 2012 doesn't disappoint in that regard, mixing bacony-meaty notes with hints of black olives and ripe plums. The tannins are supremely supple, but the acids are crisp, resulting in a long, mouthwatering finish. Drink now–2030.",RunRig,@JoeCz
360,356,Australia,Victoria,Heathcote,Jasper Hill,Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Shiraz,85.0,95,Joe Czerwinski,"Dusty, firm, powerful: just a few apt descriptors for this vintage of one of Heathcote's top wines. Mocha, licorice and blackberries feature on the nose, while the palate delivers more of the same—dark fruit, chocolate and plenty of spice. Best after 2020.",Georgia's Paddock,@JoeCz
364,360,Australia,South Australia,Barossa Valley,Torbreck,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,125.0,95,Joe Czerwinski,"Bacon and tapenade elements merge easily on the nose, followed by a wine that's full bodied and creamy textured on the palate. This is dark and meaty in profile, yet not heavy or cooked, with a long, harmonious finish. Drink now–2030.",Descendant,@JoeCz
369,365,Australia,South Australia,Clare Valley,Wakefield,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,60.0,95,Joe Czerwinski,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",St. Andrews Single Vineyard Release,@JoeCz
635,628,Australia,South Australia,McLaren Vale,Kangarilla Road,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),Shiraz,35.0,92,Joe Czerwinski,"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",Alluvial Fans,@JoeCz
644,636,Australia,South Australia,Barossa Valley,Torbreck,Torbreck 2010 The Factor Shiraz (Barossa Valley),Shiraz,125.0,92,Joe Czerwinski,"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",The Factor,@JoeCz
757,746,Australia,Australia Other,South Eastern Australia,Jacob's Creek,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),Pinot Grigio,9.0,85,Joe Czerwinski,"Melon and citrus aromas and flavors mingle easily in this cleanly made quaffer. It's a bit plump on the palate, yet refreshing on the lemon-lime finish.",Classic,@JoeCz
818,807,Australia,Victoria,Mornington Peninsula,Kooyong,Kooyong 2013 Farrago Chardonnay (Mornington Peninsula),Chardonnay,66.0,90,Joe Czerwinski,"Without any new oak or lees stirring, this wine's sole focus is on the fruit. Pineapple, melon and peach notes are pure and striking, supported by just hints of vanilla and cream. This medium-bodied Chardonnay finishes in a flurry of tangerine and lime.",Farrago,@JoeCz
824,813,Australia,South Australia,Barossa Valley,Torbreck,Torbreck 2013 Cuvee Juveniles Red (Barossa Valley),Red Blend,22.0,90,Joe Czerwinski,"Built for early consumption, this blend of 59% Grenache, 22% Shiraz and 19% Mataro is lush and warm, offering chocolaty notes alongside hints of brown sugar, grilled meat and blueberries. Drink now–2022.",Cuvee Juveniles,@JoeCz
877,866,Australia,South Australia,McLaren Vale,Beresford,Beresford 2014 Handpicked Grenache Rosé (McLaren Vale),Rosé,25.0,90,Joe Czerwinski,"This is ripe, rich and even a touch tannic—almost more of a light red than a true rosé. This makes it ideally suited to serve alongside summer's various grilled meats. Raspberry and cola flavors finish spicy and round.",Handpicked Grenache,@JoeCz
905,893,Australia,Australia Other,South Eastern Australia,Hungerford Hill,Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia),Shiraz,15.0,90,Joe Czerwinski,"This is an unusually complex Shiraz for the price, ably marrying meaty-savory notes with tart berries and plenty of weight on the palate. Crisp structure, finishes long, with lingering acids. Drink now–2018.",Heavy Metal,@JoeCz
1010,997,Australia,South Australia,Barossa,Yalumba,Yalumba 2006 Patchwork Shiraz (Barossa),Shiraz,18.0,88,Joe Czerwinski,"Blended from a patchwork of old vineyards throughout the Barossa, this is typical Barossa Shiraz, with plenty of weight and creamy tannins that support plummy, chocolaty fruit. There's a bit of spice for complexity and a crisp, fresh finish. Drink now–2014.",Patchwork,@JoeCz
1088,1074,Australia,South Australia,Barossa Valley,Schild Estate,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Shiraz,100.0,94,Joe Czerwinski,"Sourced from vines planted in 1847, this is a full-bodied, open-knit wine, supple and velvety in texture. Vanilla cream and black cherries mark the nose, while the flavors are more savory, resembling black olives and grilled meat. It's long and lush on the finish. Drink it now through 2025.",Moorooroo,@JoeCz
1170,1154,Australia,South Australia,Clare Valley,Fire Block,Fire Block 2004 Old Vine Shiraz (Clare Valley),Shiraz,19.0,87,Joe Czerwinski,"This wine boasts admirable complexity, but comes across as a bit angular, with the acids maybe a touch too prominent. Still, the flavors of mint, pepper and meat layered over plum and raspberry fruit offer a lot to like, and the acids may actually make this wine more versatile with food than many more unctuous Shiraz.",Old Vine,@JoeCz
