,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
6,6,Italy,Sicily & Sardinia,Vittoria,Terre di Giurfo,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,16.0,87,Kerin O’Keefe,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Belsito,@kerinokeefe
22,22,Italy,Sicily & Sardinia,Sicilia,Baglio di Pianetto,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,19.0,87,Kerin O’Keefe,"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",Ficiligno,@kerinokeefe
24,24,Italy,Sicily & Sardinia,Sicilia,Canicattì,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,35.0,87,Kerin O’Keefe,"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",Aynat,@kerinokeefe
26,26,Italy,Sicily & Sardinia,Terre Siciliane,Stemmari,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,13.0,87,Kerin O’Keefe,"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Dalila,@kerinokeefe
28,28,Italy,Sicily & Sardinia,Cerasuolo di Vittoria,Terre di Giurfo,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,17.0,87,Kerin O’Keefe,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Mascaria Barricato,@kerinokeefe
62,61,Italy,Central Italy,Romagna,Podere dal Nespoli,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,17.0,86,Kerin O’Keefe,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Prugneto,@kerinokeefe
73,72,Italy,Southern Italy,Aglianico del Vulture,Grifalco,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,32.0,86,Kerin O’Keefe,"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Daginestra,@kerinokeefe
89,88,Italy,Tuscany,Vernaccia di San Gimignano,Poggio Alloro,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,29.0,86,Kerin O’Keefe,"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",Le Mandorle Riserva,@kerinokeefe
100,98,Italy,Tuscany,Morellino di Scansano,Serpaia di Endrizzi,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,30.0,88,Kerin O’Keefe,"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Dono Riserva,@kerinokeefe
106,104,Italy,Tuscany,Toscana,Madonna Alta,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,16.0,87,Kerin O’Keefe,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Nativo,@kerinokeefe
