,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
5,5,Spain,Northern Spain,Navarra,Tandem,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,15.0,87,Michael Schachner,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Ars In Vitro,@wineschach
18,18,Spain,Northern Spain,Ribera del Duero,Pradorey,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,28.0,87,Michael Schachner,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,@wineschach
99,339,Spain,Catalonia,Cava,Cavas Hill,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,13.0,82,Michael Schachner,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,@wineschach
158,154,Spain,Central Spain,Dominio de Valdepusa,Marques de Griñon,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,50.0,91,Michael Schachner,"Ripe aromas of raisin, black plum and horsehide are pointy and peppery. On the palate, this Graciano is bold and energetic, with lifting acidity. Loud berry flavors come with strong accents of dark chocolate and bitter espresso, while the finish is long but just moderate in complexity. Drink through 2020.",Single Vineyard Estate Bottled,@wineschach
217,212,Spain,Northern Spain,Rueda,Matarromera,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,40.0,90,Michael Schachner,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",Fermentado en Barrica,@wineschach
250,244,Spain,Northern Spain,Vino de la Tierra de Castilla y León,J. & F. Lurton,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,13.0,85,Michael Schachner,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,@wineschach
293,287,Spain,Catalonia,Montsant,Acústic,Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,40.0,92,Michael Schachner,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,@wineschach
430,426,Spain,Northern Spain,Rioja,Luberri,Luberri 2011 Seis  (Rioja),Tempranillo,18.0,89,Michael Schachner,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",Seis,@wineschach
442,438,Spain,Northern Spain,Bierzo,Vinos de Arganza,Vinos de Arganza 2012 Século Mencía (Bierzo),Mencía,15.0,89,Michael Schachner,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,@wineschach
443,439,Spain,Northern Spain,Vino de la Tierra de Castilla y León,Vinos de Arganza,Vinos de Arganza 2013 Marqués de Montejos Selección Mencía (Vino de la Tierra de Castilla y León),Mencía,42.0,89,Michael Schachner,"Leathery berry and savory, smoky oak aromas are a rugged introduction to a stout palate with juicy acidity. Flavors of baked plum, hard spices, salt and savory herbs finish with rubbery tannins, energy and spicy, peppery flavors.",Marqués de Montejos Selección,@wineschach
497,490,Spain,Catalonia,Cava,V&N; Cellars,V&N; Cellars NV Reserva Brut Sparkling (Cava),Sparkling Blend,19.0,87,Michael Schachner,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",Reserva Brut,@wineschach
503,496,Spain,Northern Spain,Rueda,Loess,Loess 2009 Collection Blanco Verdejo (Rueda),Verdejo,25.0,87,Michael Schachner,"This barrel-fermented Verdejo is interesting, but it's also a bit low on acidity. It smells like pine and blowsy flowers. Creamy, soft and cuddly on the palate, this has flavors of baked apple, wood resin and banana. It finishes round and sweet. Drink now.",Collection Blanco,@wineschach
507,500,Spain,Northern Spain,Rioja,El Coto,El Coto 2011 Rosado Rosé (Rioja),Rosé,11.0,87,Michael Schachner,"Aromas of watermelon and a dusting of natural vanilla mark the bouquet. On the palate, it's fleshy but still crisp and focused, with nectarine, red apple and strawberry flavors. The finish lasts, with some sweetness.",Rosado,@wineschach
564,556,Spain,Northern Spain,Ribera del Duero,Resalte,Resalte 2010 Gran Resalte  (Ribera del Duero),Tempranillo,88.0,93,Michael Schachner,"Welcoming aromas of wood spice, plum and blackberry become more smoky with airing. This strong-boned RDD is pure and deep, with manageable tannins. Generous flavors of spiced blackberry, tobacco and vanilla finish long, elegant and with a lot in reserve. Drink from 2017 through 2030.",Gran Resalte,@wineschach
613,604,Spain,Northern Spain,Navarra,Príncipe de Viana,Príncipe de Viana 2008 Reserva 1423 Red (Navarra),Red Blend,35.0,87,Michael Schachner,"Bright red-fruit aromas are matched by dry spice and leathery scents. The feel on this blend of Tempranillo, Cabernet Sauvignon and Merlot is juicy and clampy, while flavors of red cherry, plum and currant come with a vanilla shading. This finishes crisp, with punchy acidity.",Reserva 1423,@wineschach
643,635,Spain,Northern Spain,Rioja,Marqués de Murrieta,Marqués de Murrieta 2010 Capellanía Viura (Rioja),Viura,28.0,92,Michael Schachner,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Capellanía,@wineschach
674,667,Spain,Levante,Valencia,Rafael Cambra,Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),Garnacha Tintorera,15.0,90,Michael Schachner,"Perfumed plum and raspberry aromas are slightly earthy and leathery. This is medium-to-full in body, with smooth, chunky tannins. Earthy, lightly baked plum and wild-berry flavors finish loamy and expansive. Drink through 2017.",Soplo,@wineschach
687,680,Spain,Northern Spain,Rioja,Bodegas Berceo,Bodegas Berceo 2011 Selección Crianza  (Rioja),Tempranillo Blend,25.0,90,Michael Schachner,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",Selección Crianza,@wineschach
773,762,Spain,Northern Spain,Rueda,Oro de Castilla,Oro de Castilla 2010 Solo Verdejo (Rueda),Verdejo,14.0,87,Michael Schachner,"Round and good by Rueda standards, with melon and peach aromas but not too much citrus. The palate is full and chunky, with papaya, melon and a touch of pithy bitterness. More regular than special, but good and goes down easy before finishing dry.",Solo,@wineschach
774,763,Spain,Northern Spain,Rueda,Pablo del Villar,Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda),Verdejo-Viura,10.0,87,Michael Schachner,"White fruits, flower blossom and a touch of brine work the nose, which is followed by flush, semisweet apple, gooseberry and lime flavors. More sweet than outright tangy, but still citrusy and zesty. Holds form on the crisp finish. 60% Verdejo and 40% Viura.",Ipsum,@wineschach
813,821,Spain,Catalonia,Cava,Pata Negra,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,15.0,86,Michael Schachner,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,@wineschach
820,809,Spain,Central Spain,Vino de la Tierra de Castilla,Finca Constancia,Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,20.0,90,Michael Schachner,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,@wineschach
831,820,Spain,Northern Spain,Rioja,Navardia,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,12.0,86,Michael Schachner,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",Made With Organic Grapes,@wineschach
